Dislike 	
Abigail Icon.png Abigail
   Alex Icon.png Alex
   Caroline Icon.png Caroline
   Clint Icon.png Clint
   Demetrius Icon.png Demetrius
   Dwarf Icon.png Dwarf
   Elliott Icon.png Elliott
   Emily Icon.png Emily
   Evelyn Icon.png Evelyn
   George Icon.png George
   Gus Icon.png Gus
   Haley Icon.png Haley
   Harvey Icon.png Harvey
   Jas Icon.png Jas
   Jodi Icon.png Jodi
   Kent Icon.png Kent
   Krobus Icon.png Krobus
   Leah Icon.png Leah
   Lewis Icon.png Lewis
   Linus Icon.png Linus
   Marnie Icon.png Marnie
   Maru Icon.png Maru
   Pam Icon.png Pam
   Penny Icon.png Penny
   Pierre Icon.png Pierre
   Robin Icon.png Robin
   Sam Icon.png Sam
   Sandy Icon.png Sandy
   Sebastian Icon.png Sebastian
   Shane Icon.png Shane
   Vincent Icon.png Vincent
   Willy Icon.png Willy
   Wizard Icon.png Wizard
